#structure
csvSeparator=;
structure=table
dateFormat=dd/mm/yyyy
codeColumnsIndex=1
titleColumnIndex_EN=2

#metadata
name=OECD_CommodityClass
title_EN=OECD Commodity Class
description_EN=OECD Commodity Class list
version=1.0
startDate=03/04/2014
sharingPolicy=publicPolicy


--data--

1;Wheat
2;Rice
3;Maize
4;Soybeans
5;Ethanol
6;Biodiesel
7;Biofuel
8;Wheat + Maize
9;Maize + Rice
10;Maize + Soybeans
11;Wheat + Maize + Rice
12;Wheat + Rice
