#structure
csvSeparator=;
structure=table
dateFormat=dd/mm/yyyy
codeColumnsIndex=1
titleColumnIndex_EN=2

#metadata
name=OECD_PolicyType4
title_EN=OECD Tax concessions
description_EN=OECD Policy Measures of Tax concessions
version=1.0
startDate=03/04/2014
sharingPolicy=publicPolicy


--data--

27;Carbon tax exemptions
28;Excise tax concessions
29;Income tax concessions
30;Other tax concessions
31;Sales tax concessions
32;Social contribution concessions
33;VAT concessions

