#structure
csvSeparator=;
structure=table
dateFormat=dd/mm/yyyy
codeColumnsIndex=1
titleColumnIndex_EN=2

#metadata
name=OECD_PolicyType7
title_EN=OECD Other domestic measures
description_EN=OECD Policy Measures of Other domestic measures
version=1.0
startDate=03/04/2014
sharingPolicy=publicPolicy


--data--

36;Raw material use limit regulation
37;Supply quota
38;Licensing requirement

